"wavelength","dsred_5ul","dsred_5ul_cu","dsred_5ul_cu_edta","lipo_uncleaved_100ul","lipo_uncleaved_100ul_cu","lipo_uncleaved_100ul_cu_edta","lipo_cleaved_100ul","lipo_cleaved_100ul_cu","lipo_cleaved_100ul_cu_edta","lipo_cleaved_275ul","lipo_cleaved_275ul_2","lipo_cleaved_275ul_cu","lipo_cleaved_275ul_cu_edta","lipo_uncleaved_275ul","lipo_uncleaved_275ul_cu","lipo_uncleaved_275ul_cu_edta"
576.9099731,59.49241638,8.969842911,56.08293915,24.45552826,5.055324078,23.36564445,10.36766815,1.508704662,8.640125275,23.33921623,22.74132919,5.084353924,16.19384956,58.27730942,11.37018204,58.73981857
577.9400024,62.32571411,8.943963051,57.09977341,25.27632141,5.179955959,23.72983551,10.70754433,1.000451565,7.517970562,23.67540169,24.70874214,4.839026928,17.02165985,60.06946945,12.31743622,59.62531281
578.9699707,65.50382996,9.179819107,60.02050018,25.37266922,5.233510494,24.36635399,11.02328873,0.9164252281,8.89802742,24.17417526,24.87284088,4.363888264,17.26241302,61.26275253,11.86769295,59.25458908
579.8499756,66.56516266,8.848012924,61.60224152,27.07069588,4.939629078,24.33338928,11.13107491,0.7607088089,8.848632813,25.29828835,24.43609428,4.519714832,17.34324455,63.16794968,12.70367241,61.4271431
580.8800049,68.67503357,9.355983734,63.21839142,27.76763916,5.188669682,24.54123116,10.78598595,1.094887733,8.940361023,26.00057411,25.06422234,4.233605862,17.03585625,64.4377594,12.4317646,62.51302719
581.9099731,69.08815002,9.643296242,64.56204987,28.45764351,5.374078274,24.41692352,11.12107086,0.389465332,9.078468323,26.23364067,25.3219738,4.677968502,17.28909302,65.05056,12.03676033,64.19268799
582.9400024,70.90636444,9.916362762,66.95852661,29.17143822,5.703626156,25.87615967,11.49692917,0.4668459892,9.042778015,26.32478333,25.66366005,4.248800755,18.05759048,66.67194366,12.69976997,63.48270035
583.9699707,72.56142426,9.978102684,68.46925354,31.28230476,4.640598774,26.08187294,11.25078392,0.7580518723,8.630849838,26.32094383,25.82174683,4.245079517,18.16154861,69.59854889,12.63919067,65.24724579
584.8499756,73.04270172,10.25300598,69.11804199,30.80510139,5.269013882,26.55108833,11.94547081,0.5774812698,9.309316635,26.57629967,25.84721375,4.30869627,17.7744503,68.16186523,12.3281765,64.97216797
585.8800049,74.5903244,9.71133709,70.28220367,30.10150337,5.176683903,27.34643936,12.10061836,1.141854763,9.452327728,27.68513107,26.83810425,4.238146305,17.94316292,70.04825592,12.70047951,66.11747742
586.9099731,75.49804688,10.07228947,70.34580231,30.83028984,5.537540913,28.22456932,12.26660728,0.5677847862,9.18056488,26.75663185,25.82046509,3.978994846,17.68778801,69.74965668,12.28861046,66.8792572
587.9400024,74.89622498,9.972550392,70.19762421,32.10183334,5.14405489,27.49810982,11.67903137,0.4927206039,9.321086884,28.93984413,26.09140015,3.801126957,17.20394135,69.06704712,12.53833199,66.8457489
588.9699707,77.09137726,9.590474129,71.9125061,32.24793625,5.335538387,27.43243027,11.86444473,0.3702716827,9.198228836,26.85961533,26.82697296,3.692833424,17.34526825,70.98897552,12.25129509,65.12089539
589.8499756,77.73014069,10.21739101,72.12229156,32.62376404,5.146392345,27.91267967,12.00107956,0.4492201805,9.004930496,27.73118591,26.44604683,3.616400719,17.81251144,70.15569305,12.14069557,66.11019897
590.8599854,77.2486496,9.659959793,72.20437622,31.62682533,5.075776577,27.93551445,12.24375534,0.1894216537,9.005046844,27.00734138,26.07153511,4.044577122,17.24876976,72.98641968,12.07966995,66.29277039
591.8800049,77.67062378,9.496863365,71.94555664,32.59679413,5.29086256,27.39619064,12.13871002,0.6465144157,9.297389984,27.2447052,26.56587982,3.607571602,17.7858448,72.09059143,12.65033722,64.05501556
592.8900146,78.8927536,9.824388504,71.68289185,33.19630051,4.925310612,26.52297783,11.91054535,0.3610954285,8.743015289,28.09855843,26.61784744,4.072933674,17.39568329,70.90659332,12.9495945,66.10708618
593.9099731,78.53887939,9.899770737,72.51823425,32.65236282,4.653448582,27.74620628,11.38866234,1.11517477,8.5229702,27.3763237,26.47570992,3.531971931,16.9012413,71.29839325,12.22327614,64.56785583
594.9199829,76.80345917,9.585371017,72.45663452,32.95699692,4.607976437,27.81724739,11.03253746,0.5739326477,8.825138092,27.39912224,26.48088646,3.377974033,17.4718914,72.212677,12.25110435,63.84619522
595.9400024,77.94786835,9.804424286,71.95810699,33.18352509,4.406260014,27.12026215,11.81431007,0.3161797523,8.335912704,25.73945999,26.1299572,3.232012272,16.38148689,71.77746582,11.6289444,64.88955688
596.9500122,76.77751923,9.427659035,69.57982635,33.1525383,4.872766018,26.81600761,11.24136925,-0.03551483154,8.233354568,25.93343353,25.64022446,3.485127926,16.14630318,69.74906158,11.32980347,63.52773666
597.9699707,75.41986084,9.645526886,71.19474792,31.6248455,4.476795673,26.36545944,10.80271149,-0.2718987465,8.200277328,26.14400864,24.71021652,3.073197365,16.0207119,70.16049957,11.61586952,60.56341934
598.8400269,75.23680115,9.265979767,70.5738678,33.29530334,4.304419041,25.90897369,10.83471107,0.02473545074,7.752857685,26.26399612,24.33210182,2.736296177,15.96774673,70.73885345,11.28478813,61.70619583
